region;year;men;women;totalbirth
Andalucía;2009;47230;44577;91807
Madrid;2010;6024;5604;11628
Cataluña;2011;3849;3633;7482
Galicia;2012;5719;5206;10925
País Vasco;2013;10390;9737;20127

